Date,New Cases
2020-03-01,0.0
2020-03-02,2.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,4.0
2020-03-08,7.0
2020-03-09,0.0
2020-03-10,1.0
2020-03-11,4.0
2020-03-12,5.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,15.0
2020-03-16,8.0
2020-03-17,18.0
2020-03-18,10.0
2020-03-19,13.0
2020-03-20,26.0
2020-03-21,23.0
2020-03-22,24.0
2020-03-23,30.0
2020-03-24,18.0
2020-03-25,57.0
2020-03-26,50.0
2020-03-27,98.0
2020-03-28,65.0
2020-03-29,69.0
2020-03-30,58.0
2020-03-31,84.0
2020-04-01,46.0
2020-04-02,90.0
2020-04-03,73.0
2020-04-04,100.0
2020-04-05,69.0
2020-04-06,64.0
2020-04-07,49.0
2020-04-08,58.0
2020-04-09,82.0
2020-04-10,50.0
2020-04-11,76.0
2020-04-12,80.0
2020-04-13,57.0
2020-04-14,49.0
2020-04-15,30.0
2020-04-16,73.0
2020-04-17,49.0
2020-04-18,59.0
2020-04-19,66.0
2020-04-20,46.0
2020-04-21,46.0
2020-04-22,57.0
2020-04-23,68.0
2020-04-24,50.0
2020-04-25,76.0
2020-04-26,58.0
2020-04-27,43.0
2020-04-28,31.0
2020-04-29,61.0
2020-04-30,64.0
2020-05-01,69.0
2020-05-02,56.0
2020-05-03,45.0
2020-05-04,79.0
2020-05-05,80.0
2020-05-06,77.0
2020-05-07,73.0
2020-05-08,79.0
2020-05-09,92.0
2020-05-10,68.0
2020-05-11,58.0
2020-05-12,72.0
2020-05-13,58.0
2020-05-14,63.0
2020-05-15,62.0
2020-05-16,71.0
2020-05-17,11.0
2020-05-18,64.0
2020-05-19,39.0
2020-05-20,75.0
2020-05-21,16.0
2020-05-22,47.0
2020-05-23,24.0
2020-05-24,39.0
2020-05-25,22.0
2020-05-26,18.0
2020-05-27,71.0
2020-05-28,48.0
2020-05-29,45.0
2020-05-30,54.0
2020-05-31,58.0
2020-06-01,59.0
2020-06-02,33.0
2020-06-03,64.0
2020-06-04,75.0
2020-06-05,96.0
2020-06-06,92.0
2020-06-07,146.0
2020-06-08,114.0
2020-06-09,66.0
2020-06-10,72.0
2020-06-11,177.0
2020-06-12,140.0
2020-06-13,158.0
2020-06-14,101.0
2020-06-15,184.0
2020-06-16,278.0
2020-06-17,120.0
2020-06-18,148.0
2020-06-19,206.0
2020-06-20,178.0
2020-06-21,187.0
2020-06-22,146.0
2020-06-23,191.0
2020-06-24,170.0
2020-06-25,124.0
2020-06-26,250.0
2020-06-27,276.0
2020-06-28,247.0
2020-06-29,144.0
2020-06-30,171.0
2020-07-01,275.0
2020-07-02,363.0
2020-07-03,342.0
2020-07-04,294.0
2020-07-05,300.0
2020-07-06,165.0
2020-07-07,210.0
2020-07-08,214.0
2020-07-09,369.0
2020-07-10,266.0
2020-07-11,397.0
2020-07-12,319.0
2020-07-13,268.0
2020-07-14,367.0
2020-07-15,276.0
2020-07-16,428.0
2020-07-17,293.0
2020-07-18,347.0
2020-07-19,430.0
2020-07-20,268.0
2020-07-21,292.0
2020-07-22,255.0
2020-07-23,319.0
2020-07-24,391.0
2020-07-25,388.0
2020-07-26,266.0
2020-07-27,330.0
2020-07-28,328.0
2020-07-29,305.0
2020-07-30,410.0
2020-07-31,362.0
2020-08-01,324.0
2020-08-02,280.0
2020-08-03,269.0
2020-08-04,333.0
2020-08-05,279.0
2020-08-06,247.0
2020-08-07,411.0
2020-08-08,374.0
2020-08-09,262.0
2020-08-10,216.0
2020-08-11,286.0
2020-08-12,248.0
2020-08-13,278.0
2020-08-14,313.0
2020-08-15,405.0
2020-08-16,726.0
2020-08-17,-293.0
2020-08-18,225.0
2020-08-19,194.0
2020-08-20,295.0
2020-08-21,256.0
2020-08-22,289.0
2020-08-23,227.0
2020-08-24,218.0
2020-08-25,236.0
2020-08-26,180.0
2020-08-27,190.0
2020-08-28,293.0
2020-08-29,239.0
2020-08-30,261.0
2020-08-31,159.0
2020-09-01,233.0
2020-09-02,129.0
2020-09-03,261.0
2020-09-04,265.0
2020-09-05,255.0
2020-09-06,188.0
2020-09-07,146.0
2020-09-08,165.0
2020-09-09,116.0
2020-09-10,183.0
2020-09-11,211.0
2020-09-12,291.0
2020-09-13,181.0
2020-09-14,147.0
2020-09-15,178.0
2020-09-16,188.0
2020-09-17,210.0
2020-09-18,282.0
2020-09-19,257.0
2020-09-20,202.0
2020-09-21,194.0
2020-09-22,318.0
2020-09-23,190.0
2020-09-24,362.0
2020-09-25,449.0
2020-09-26,267.0
2020-09-27,239.0
2020-09-28,174.0
2020-09-29,297.0
2020-09-30,218.0
2020-10-01,353.0
2020-10-02,301.0
2020-10-03,348.0
2020-10-04,259.0
2020-10-05,279.0
2020-10-06,291.0
2020-10-07,294.0
2020-10-08,482.0
2020-10-09,410.0
2020-10-10,0.0
2020-10-11,729.0
2020-10-12,212.0
2020-10-13,313.0
2020-10-14,380.0
2020-10-15,365.0
2020-10-16,410.0
2020-10-17,381.0
2020-10-18,216.0
2020-10-19,262.0
2020-10-20,342.0
2020-10-21,307.0
2020-10-22,367.0
2020-10-23,538.0
2020-10-24,0.0
2020-10-25,753.0
2020-10-26,335.0
2020-10-27,372.0
2020-10-28,420.0
2020-10-29,565.0
2020-10-30,595.0
2020-10-31,533.0
2020-11-01,508.0
2020-11-02,549.0
2020-11-03,482.0
2020-11-04,589.0
2020-11-05,790.0
2020-11-06,769.0
2020-11-07,979.0
2020-11-08,861.0
2020-11-09,707.0
2020-11-10,754.0
2020-11-11,861.0
2020-11-12,1109.0
2020-11-13,1058.0
2020-11-14,1081.0
2020-11-15,862.0
2020-11-16,766.0
2020-11-17,924.0
2020-11-18,1099.0
2020-11-19,1204.0
2020-11-20,1302.0
2020-11-21,1493.0
2020-11-22,1502.0
2020-11-23,1163.0
2020-11-24,1000.0
2020-11-25,1170.0
2020-11-26,1503.0
2020-11-27,826.0
2020-11-28,1674.0
2020-11-29,1614.0
2020-11-30,1311.0
2020-12-01,1223.0
2020-12-02,1506.0
2020-12-03,1133.0
2020-12-04,2144.0
2020-12-05,1806.0
2020-12-06,1253.0
2020-12-07,1292.0
2020-12-08,1294.0
2020-12-09,1205.0
2020-12-10,1551.0
2020-12-11,1582.0
