Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,3.0
2020-03-12,2.0
2020-03-13,0.0
2020-03-14,2.0
2020-03-15,10.0
2020-03-16,4.0
2020-03-17,2.0
2020-03-18,5.0
2020-03-19,7.0
2020-03-20,8.0
2020-03-21,14.0
2020-03-22,8.0
2020-03-23,18.0
2020-03-24,17.0
2020-03-25,12.0
2020-03-26,24.0
2020-03-27,55.0
2020-03-28,17.0
2020-03-29,29.0
2020-03-30,44.0
2020-03-31,34.0
2020-04-01,48.0
2020-04-02,40.0
2020-04-03,92.0
2020-04-04,48.0
2020-04-05,81.0
2020-04-06,62.0
2020-04-07,108.0
2020-04-08,71.0
2020-04-09,124.0
2020-04-10,102.0
2020-04-11,83.0
2020-04-12,71.0
2020-04-13,100.0
2020-04-14,62.0
2020-04-15,77.0
2020-04-16,113.0
2020-04-17,114.0
2020-04-18,87.0
2020-04-19,47.0
2020-04-20,126.0
2020-04-21,101.0
2020-04-22,138.0
2020-04-23,169.0
2020-04-24,142.0
2020-04-25,139.0
2020-04-26,66.0
2020-04-27,97.0
2020-04-28,151.0
2020-04-29,239.0
2020-04-30,198.0
2020-05-01,102.0
2020-05-02,219.0
2020-05-03,118.0
2020-05-04,181.0
2020-05-05,107.0
2020-05-06,153.0
2020-05-07,202.0
2020-05-08,180.0
2020-05-09,105.0
2020-05-10,85.0
2020-05-11,206.0
2020-05-12,143.0
2020-05-13,152.0
2020-05-14,139.0
2020-05-15,159.0
2020-05-16,185.0
2020-05-17,91.0
2020-05-18,158.0
2020-05-19,96.0
2020-05-20,125.0
2020-05-21,155.0
2020-05-22,153.0
2020-05-23,170.0
2020-05-24,148.0
2020-05-25,83.0
2020-05-26,104.0
2020-05-27,122.0
2020-05-28,112.0
2020-05-29,129.0
2020-05-30,131.0
2020-05-31,65.0
2020-06-01,111.0
2020-06-02,224.0
2020-06-03,116.0
2020-06-04,213.0
2020-06-05,319.0
2020-06-06,128.0
2020-06-07,140.0
2020-06-08,122.0
2020-06-09,43.0
2020-06-10,145.0
2020-06-11,117.0
2020-06-12,159.0
2020-06-13,95.0
2020-06-14,102.0
2020-06-15,122.0
2020-06-16,88.0
2020-06-17,132.0
2020-06-18,88.0
2020-06-19,107.0
2020-06-20,170.0
2020-06-21,135.0
2020-06-22,129.0
2020-06-23,144.0
2020-06-24,152.0
2020-06-25,202.0
2020-06-26,216.0
2020-06-27,211.0
2020-06-28,190.0
2020-06-29,173.0
2020-06-30,165.0
2020-07-01,129.0
2020-07-02,244.0
2020-07-03,256.0
2020-07-04,287.0
2020-07-05,193.0
2020-07-06,251.0
2020-07-07,220.0
2020-07-08,290.0
2020-07-09,234.0
2020-07-10,298.0
2020-07-11,224.0
2020-07-12,255.0
2020-07-13,263.0
2020-07-14,223.0
2020-07-15,327.0
2020-07-16,297.0
2020-07-17,318.0
2020-07-18,280.0
2020-07-19,235.0
2020-07-20,244.0
2020-07-21,302.0
2020-07-22,311.0
2020-07-23,335.0
2020-07-24,312.0
2020-07-25,313.0
2020-07-26,254.0
2020-07-27,460.0
2020-07-28,289.0
2020-07-29,345.0
2020-07-30,252.0
2020-07-31,212.0
2020-08-01,196.0
2020-08-02,220.0
2020-08-03,114.0
2020-08-04,210.0
2020-08-05,226.0
2020-08-06,207.0
2020-08-07,192.0
2020-08-08,150.0
2020-08-09,200.0
2020-08-10,129.0
2020-08-11,199.0
2020-08-12,173.0
2020-08-13,171.0
2020-08-14,173.0
2020-08-15,142.0
2020-08-16,106.0
2020-08-17,92.0
2020-08-18,79.0
2020-08-19,170.0
2020-08-20,202.0
2020-08-21,144.0
2020-08-22,207.0
2020-08-23,94.0
2020-08-24,73.0
2020-08-25,66.0
2020-08-26,197.0
2020-08-27,188.0
2020-08-28,122.0
2020-08-29,136.0
2020-08-30,105.0
2020-08-31,69.0
2020-09-01,108.0
2020-09-02,152.0
2020-09-03,200.0
2020-09-04,90.0
2020-09-05,146.0
2020-09-06,59.0
2020-09-07,37.0
2020-09-08,37.0
2020-09-09,87.0
2020-09-10,161.0
2020-09-11,134.0
2020-09-12,98.0
2020-09-13,100.0
2020-09-14,81.0
2020-09-15,81.0
2020-09-16,118.0
2020-09-17,158.0
2020-09-18,151.0
2020-09-19,162.0
2020-09-20,67.0
2020-09-21,104.0
2020-09-22,107.0
2020-09-23,197.0
2020-09-24,237.0
2020-09-25,263.0
2020-09-26,205.0
2020-09-27,152.0
2020-09-28,141.0
2020-09-29,172.0
2020-09-30,278.0
2020-10-01,226.0
2020-10-02,339.0
2020-10-03,296.0
2020-10-04,181.0
2020-10-05,155.0
2020-10-06,315.0
2020-10-07,425.0
2020-10-08,384.0
2020-10-09,485.0
2020-10-10,481.0
2020-10-11,261.0
2020-10-12,379.0
2020-10-13,351.0
2020-10-14,577.0
2020-10-15,668.0
2020-10-16,812.0
2020-10-17,573.0
2020-10-18,445.0
2020-10-19,514.0
2020-10-20,594.0
2020-10-21,819.0
2020-10-22,662.0
2020-10-23,791.0
2020-10-24,872.0
2020-10-25,823.0
2020-10-26,723.0
2020-10-27,583.0
2020-10-28,657.0
2020-10-29,1078.0
2020-10-30,1005.0
2020-10-31,581.0
2020-11-01,742.0
2020-11-02,872.0
2020-11-03,1136.0
2020-11-04,1011.0
2020-11-05,859.0
2020-11-06,1284.0
2020-11-07,1277.0
2020-11-08,1210.0
2020-11-09,1408.0
2020-11-10,1258.0
2020-11-11,1487.0
2020-11-12,1742.0
2020-11-13,1230.0
2020-11-14,1165.0
2020-11-15,1030.0
2020-11-16,1253.0
2020-11-17,2105.0
2020-11-18,2892.0
2020-11-19,3665.0
2020-11-20,2982.0
2020-11-21,2342.0
2020-11-22,2456.0
2020-11-23,2252.0
2020-11-24,2099.0
2020-11-25,1855.0
2020-11-26,1694.0
2020-11-27,2056.0
2020-11-28,2130.0
2020-11-29,1435.0
2020-11-30,1678.0
2020-12-01,2324.0
2020-12-02,1544.0
2020-12-03,1899.0
2020-12-04,2073.0
2020-12-05,1921.0
