Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,1.0
2020-03-15,4.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,5.0
2020-03-19,13.0
2020-03-20,8.0
2020-03-21,11.0
2020-03-22,5.0
2020-03-23,4.0
2020-03-24,20.0
2020-03-25,52.0
2020-03-26,66.0
2020-03-27,41.0
2020-03-28,31.0
2020-03-29,49.0
2020-03-30,105.0
2020-03-31,110.0
2020-04-01,144.0
2020-04-02,222.0
2020-04-03,122.0
2020-04-04,64.0
2020-04-05,24.0
2020-04-06,69.0
2020-04-07,40.0
2020-04-08,22.0
2020-04-09,121.0
2020-04-10,43.0
2020-04-11,11.0
2020-04-12,51.0
2020-04-13,28.0
2020-04-14,0.0
2020-04-15,101.0
2020-04-16,22.0
2020-04-17,46.0
2020-04-18,13.0
2020-04-19,4.0
2020-04-20,64.0
2020-04-21,30.0
2020-04-22,36.0
2020-04-23,34.0
2020-04-24,34.0
2020-04-25,17.0
2020-04-26,10.0
2020-04-27,20.0
2020-04-28,35.0
2020-04-29,32.0
2020-04-30,31.0
2020-05-01,20.0
2020-05-02,26.0
2020-05-03,0.0
2020-05-04,45.0
2020-05-05,21.0
2020-05-06,31.0
2020-05-07,20.0
2020-05-08,27.0
2020-05-09,25.0
2020-05-10,0.0
2020-05-11,30.0
2020-05-12,33.0
2020-05-13,31.0
2020-05-14,27.0
2020-05-15,38.0
2020-05-16,30.0
2020-05-17,0.0
2020-05-18,36.0
2020-05-19,21.0
2020-05-20,30.0
2020-05-21,28.0
2020-05-22,61.0
2020-05-23,31.0
2020-05-24,0.0
2020-05-25,58.0
2020-05-26,15.0
2020-05-27,32.0
2020-05-28,38.0
2020-05-29,34.0
2020-05-30,36.0
2020-05-31,0.0
2020-06-01,67.0
2020-06-02,27.0
2020-06-03,57.0
2020-06-04,64.0
2020-06-05,57.0
2020-06-06,28.0
2020-06-07,0.0
2020-06-08,50.0
2020-06-09,31.0
2020-06-10,40.0
2020-06-11,42.0
2020-06-12,51.0
2020-06-13,46.0
2020-06-14,0.0
2020-06-15,63.0
2020-06-16,78.0
2020-06-17,92.0
2020-06-18,111.0
2020-06-19,128.0
2020-06-20,135.0
2020-06-21,0.0
2020-06-22,248.0
2020-06-23,148.0
2020-06-24,243.0
2020-06-25,220.0
2020-06-26,283.0
2020-06-27,171.0
2020-06-28,0.0
2020-06-29,433.0
2020-06-30,365.0
2020-07-01,253.0
2020-07-02,223.0
2020-07-03,401.0
2020-07-04,376.0
2020-07-05,363.0
2020-07-06,319.0
2020-07-07,487.0
2020-07-08,430.0
2020-07-09,459.0
2020-07-10,500.0
2020-07-11,577.0
2020-07-12,397.0
2020-07-13,500.0
2020-07-14,316.0
2020-07-15,727.0
2020-07-16,688.0
2020-07-17,619.0
2020-07-18,550.0
2020-07-19,571.0
2020-07-20,393.0
2020-07-21,556.0
2020-07-22,500.0
2020-07-23,414.0
2020-07-24,528.0
2020-07-25,563.0
2020-07-26,350.0
2020-07-27,517.0
2020-07-28,528.0
2020-07-29,457.0
2020-07-30,567.0
2020-07-31,475.0
2020-08-01,393.0
2020-08-02,230.0
2020-08-03,331.0
2020-08-04,559.0
2020-08-05,473.0
2020-08-06,692.0
2020-08-07,523.0
2020-08-08,573.0
2020-08-09,176.0
2020-08-10,429.0
2020-08-11,495.0
2020-08-12,538.0
2020-08-13,498.0
2020-08-14,542.0
2020-08-15,304.0
2020-08-16,183.0
2020-08-17,282.0
2020-08-18,384.0
2020-08-19,370.0
2020-08-20,424.0
2020-08-21,249.0
2020-08-22,293.0
2020-08-23,191.0
2020-08-24,217.0
2020-08-25,395.0
2020-08-26,315.0
2020-08-27,342.0
2020-08-28,262.0
2020-08-29,293.0
2020-08-30,190.0
2020-08-31,221.0
2020-09-01,280.0
2020-09-02,296.0
2020-09-03,263.0
2020-09-04,269.0
2020-09-05,281.0
2020-09-06,190.0
2020-09-07,74.0
2020-09-08,240.0
2020-09-09,329.0
2020-09-10,307.0
2020-09-11,333.0
2020-09-12,217.0
2020-09-13,112.0
2020-09-14,253.0
2020-09-15,278.0
2020-09-16,283.0
2020-09-17,396.0
2020-09-18,470.0
2020-09-19,288.0
2020-09-20,244.0
2020-09-21,410.0
2020-09-22,446.0
2020-09-23,396.0
2020-09-24,491.0
2020-09-25,523.0
2020-09-26,539.0
2020-09-27,205.0
2020-09-28,422.0
2020-09-29,511.0
2020-09-30,614.0
2020-10-01,513.0
2020-10-02,677.0
2020-10-03,464.0
2020-10-04,262.0
2020-10-05,458.0
2020-10-06,660.0
2020-10-07,671.0
2020-10-08,673.0
2020-10-09,662.0
2020-10-10,613.0
2020-10-11,365.0
2020-10-12,597.0
2020-10-13,584.0
2020-10-14,645.0
2020-10-15,718.0
2020-10-16,1094.0
2020-10-17,878.0
2020-10-18,510.0
2020-10-19,698.0
2020-10-20,873.0
2020-10-21,987.0
2020-10-22,950.0
2020-10-23,1073.0
2020-10-24,1021.0
2020-10-25,650.0
2020-10-26,697.0
2020-10-27,882.0
2020-10-28,862.0
2020-10-29,961.0
2020-10-30,1064.0
2020-10-31,798.0
2020-11-01,480.0
2020-11-02,757.0
2020-11-03,1179.0
2020-11-04,1290.0
2020-11-05,1265.0
2020-11-06,1330.0
2020-11-07,1403.0
2020-11-08,649.0
2020-11-09,1266.0
2020-11-10,1201.0
2020-11-11,1693.0
2020-11-12,1158.0
2020-11-13,1519.0
2020-11-14,1519.0
2020-11-15,928.0
2020-11-16,1099.0
2020-11-17,1781.0
2020-11-18,1310.0
2020-11-19,1543.0
2020-11-20,1786.0
2020-11-21,1070.0
2020-11-22,819.0
2020-11-23,1437.0
2020-11-24,1640.0
2020-11-25,1773.0
2020-11-26,551.0
2020-11-27,1446.0
2020-11-28,1160.0
2020-11-29,824.0
2020-11-30,1214.0
2020-12-01,1607.0
2020-12-02,1429.0
2020-12-03,1721.0
2020-12-04,1911.0
2020-12-05,1339.0
2020-12-06,805.0
