Date,New Cases
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,1.0
2020-03-12,5.0
2020-03-13,3.0
2020-03-14,3.0
2020-03-15,4.0
2020-03-16,1.0
2020-03-17,7.0
2020-03-18,13.0
2020-03-19,27.0
2020-03-20,36.0
2020-03-21,18.0
2020-03-22,46.0
2020-03-23,33.0
2020-03-24,33.0
2020-03-25,76.0
2020-03-26,43.0
2020-03-27,37.0
2020-03-28,23.0
2020-03-29,34.0
2020-03-30,61.0
2020-03-31,56.0
2020-04-01,54.0
2020-04-02,65.0
2020-04-03,59.0
2020-04-04,5.0
2020-04-05,110.0
2020-04-06,62.0
2020-04-07,78.0
2020-04-08,78.0
2020-04-09,56.0
2020-04-10,75.0
2020-04-11,32.0
2020-04-12,73.0
2020-04-13,103.0
2020-04-14,88.0
2020-04-15,85.0
2020-04-16,52.0
2020-04-17,67.0
2020-04-18,75.0
2020-04-19,4.0
2020-04-20,183.0
2020-04-21,298.0
2020-04-22,19.0
2020-04-23,184.0
2020-04-24,345.0
2020-04-25,99.0
2020-04-26,32.0
2020-04-27,114.0
2020-04-28,66.0
2020-04-29,71.0
2020-04-30,63.0
2020-05-01,55.0
2020-05-02,62.0
2020-05-03,59.0
2020-05-04,38.0
2020-05-05,27.0
2020-05-06,115.0
2020-05-07,54.0
2020-05-08,82.0
2020-05-09,237.0
2020-05-10,0.0
2020-05-11,59.0
2020-05-12,121.0
2020-05-13,72.0
2020-05-14,112.0
2020-05-15,115.0
2020-05-16,115.0
2020-05-17,181.0
2020-05-18,54.0
2020-05-19,110.0
2020-05-20,80.0
2020-05-21,455.0
2020-05-22,154.0
2020-05-23,163.0
2020-05-24,147.0
2020-05-25,107.0
2020-05-26,151.0
2020-05-27,97.0
2020-05-28,261.0
2020-05-29,239.0
2020-05-30,236.0
2020-05-31,240.0
2020-06-01,190.0
2020-06-02,375.0
2020-06-03,249.0
2020-06-04,358.0
2020-06-05,226.0
2020-06-06,450.0
2020-06-07,325.0
2020-06-08,314.0
2020-06-09,340.0
2020-06-10,288.0
2020-06-11,448.0
2020-06-12,731.0
2020-06-13,548.0
2020-06-14,406.0
2020-06-15,416.0
2020-06-16,274.0
2020-06-17,415.0
2020-06-18,322.0
2020-06-19,703.0
2020-06-20,511.0
2020-06-21,419.0
2020-06-22,522.0
2020-06-23,595.0
2020-06-24,697.0
2020-06-25,687.0
2020-06-26,678.0
2020-06-27,570.0
2020-06-28,508.0
2020-06-29,439.0
2020-06-30,520.0
2020-07-01,420.0
2020-07-02,878.0
2020-07-03,547.0
2020-07-04,587.0
2020-07-05,605.0
2020-07-06,439.0
2020-07-07,259.0
2020-07-08,734.0
2020-07-09,806.0
2020-07-10,751.0
2020-07-11,1061.0
2020-07-12,503.0
2020-07-13,572.0
2020-07-14,794.0
2020-07-15,564.0
2020-07-16,817.0
2020-07-17,648.0
2020-07-18,771.0
2020-07-19,695.0
2020-07-20,699.0
2020-07-21,738.0
2020-07-22,581.0
2020-07-23,1013.0
2020-07-24,990.0
2020-07-25,732.0
2020-07-26,642.0
2020-07-27,824.0
2020-07-28,734.0
2020-07-29,787.0
2020-07-30,791.0
2020-07-31,752.0
2020-08-01,662.0
2020-08-02,637.0
2020-08-03,787.0
2020-08-04,784.0
2020-08-05,912.0
2020-08-06,735.0
2020-08-07,1011.0
2020-08-08,772.0
2020-08-09,572.0
2020-08-10,645.0
2020-08-11,383.0
2020-08-12,703.0
2020-08-13,652.0
2020-08-14,626.0
2020-08-15,-400.0
2020-08-16,673.0
2020-08-17,412.0
2020-08-18,410.0
2020-08-19,729.0
2020-08-20,549.0
2020-08-21,887.0
2020-08-22,547.0
2020-08-23,375.0
2020-08-24,320.0
2020-08-25,480.0
2020-08-26,649.0
2020-08-27,722.0
2020-08-28,838.0
2020-08-29,795.0
2020-08-30,478.0
2020-08-31,368.0
2020-09-01,273.0
2020-09-02,615.0
2020-09-03,1392.0
2020-09-04,1174.0
2020-09-05,548.0
2020-09-06,706.0
2020-09-07,348.0
2020-09-08,477.0
2020-09-09,498.0
2020-09-10,548.0
2020-09-11,1180.0
2020-09-12,727.0
2020-09-13,509.0
2020-09-14,408.0
2020-09-15,730.0
2020-09-16,862.0
2020-09-17,992.0
2020-09-18,871.0
2020-09-19,1078.0
2020-09-20,563.0
2020-09-21,641.0
2020-09-22,617.0
2020-09-23,982.0
2020-09-24,1086.0
2020-09-25,897.0
2020-09-26,809.0
2020-09-27,487.0
2020-09-28,807.0
2020-09-29,706.0
2020-09-30,942.0
2020-10-01,1124.0
2020-10-02,958.0
2020-10-03,746.0
2020-10-04,488.0
2020-10-05,417.0
2020-10-06,641.0
2020-10-07,809.0
2020-10-08,1265.0
2020-10-09,1167.0
2020-10-10,908.0
2020-10-11,613.0
2020-10-12,654.0
2020-10-13,680.0
2020-10-14,1079.0
2020-10-15,1278.0
2020-10-16,1015.0
2020-10-17,883.0
2020-10-18,644.0
2020-10-19,531.0
2020-10-20,844.0
2020-10-21,1155.0
2020-10-22,1202.0
2020-10-23,1337.0
2020-10-24,1183.0
2020-10-25,797.0
2020-10-26,612.0
2020-10-27,952.0
2020-10-28,961.0
2020-10-29,1072.0
2020-10-30,1162.0
2020-10-31,1316.0
2020-11-01,867.0
2020-11-02,584.0
2020-11-03,520.0
2020-11-04,1651.0
2020-11-05,1548.0
2020-11-06,1870.0
2020-11-07,1598.0
2020-11-08,1038.0
2020-11-09,945.0
2020-11-10,1424.0
2020-11-11,1962.0
2020-11-12,1809.0
2020-11-13,2312.0
2020-11-14,1848.0
2020-11-15,874.0
2020-11-16,1308.0
2020-11-17,1554.0
2020-11-18,1715.0
2020-11-19,2238.0
2020-11-20,2061.0
2020-11-21,1905.0
2020-11-22,1352.0
2020-11-23,1017.0
2020-11-24,2122.0
2020-11-25,1965.0
2020-11-26,2348.0
2020-11-27,1052.0
2020-11-28,1349.0
2020-11-29,1221.0
2020-11-30,1112.0
2020-12-01,1950.0
2020-12-02,2212.0
2020-12-03,2789.0
2020-12-04,2827.0
